Test,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.6846570889492652,48,1136.0,4.935605797010655,9.165295633926382e-24
Pillai's trace,0.339268445852672,48.0,1138.0,4.843341106917716,3.985096844474194e-23
Hotelling-Lawley trace,0.42563990200705004,48,1046.8776415340449,5.028610718347976,3.5096342735888026e-24
Roy's greatest root,0.31454040077906914,24,569,7.457228668470431,8.431171143237896e-22
Wilks' lambda,0.6843307185136633,48,1136.0,4.942425469965193,8.21500867573626e-24
Pillai's trace,0.33729978844714414,48.0,1138.0,4.8095355748461674,6.85171849232785e-23
Hotelling-Lawley trace,0.4296734993340188,48,1046.8776415340449,5.076264593504538,1.650232013971646e-24
Roy's greatest root,0.3354458854074816,24,569,7.9528628665357095,1.6023762624963615e-23
Wilks' lambda,0.7169367741399137,48,1136.0,4.284289252687272,2.9958869171490583e-19
Pillai's trace,0.30128607614506486,48.0,1138.0,4.204940350244185,1.0436409452919808e-18
Hotelling-Lawley trace,0.36940548333962653,48,1046.8776415340449,4.364243963451042,1.2408457834427706e-19
Roy's greatest root,0.2779628595623153,24,569,6.590036128789892,9.218618311447323e-19
Wilks' lambda,0.677850295812012,48,1136.0,5.078855299200435,9.179101889486662e-25
Pillai's trace,0.3441536641763683,48.0,1138.0,4.927576678860656,1.0315406078546457e-23
Hotelling-Lawley trace,0.4427906073863357,48,1046.8776415340449,5.231233218002804,1.4160839160318077e-25
Roy's greatest root,0.35005957482484534,24,569,8.299329086472374,1.0220478281751688e-24
Wilks' lambda,0.6943503729092062,48,1136.0,4.735257103537869,2.273707197475687e-22
Pillai's trace,0.32466330198401927,48.0,1138.0,4.594435132742713,2.139383182006906e-21
Hotelling-Lawley trace,0.41281169187915034,48,1046.8776415340449,4.8770552024243115,3.859983441035613e-23
Roy's greatest root,0.32977509637826685,24,569,7.818417909968076,4.6813520115011216e-23
Wilks' lambda,0.6903646597755206,48,1136.0,4.817126156740132,6.12853570699858e-23
