Test,Value,Num DF,Den DF,F Value,Pr > F
Wilks' lambda,0.8413895649058495,18,1166.0,5.8421850405095705,1.2423265953259508e-13
Pillai's trace,0.16341276293494797,18.0,1168.0,5.773574161419808,2.0066117596441305e-13
Hotelling-Lawley trace,0.18280248967737545,18,967.8958810068611,5.912675725325712,1.0357664734091619e-13
Roy's greatest root,0.14284609290441108,9,584,9.26912425068623,3.2995573528510456e-13
Wilks' lambda,0.867558281502956,18,1166.0,4.76895231607932,2.1701059845107015e-10
Pillai's trace,0.13571659241980025,18.0,1168.0,4.723798350669058,2.953422921785687e-10
Hotelling-Lawley trace,0.1488854954511175,18,967.8958810068611,4.815643683850035,1.9168364929846515e-10
Roy's greatest root,0.11647732265186124,9,584,7.558084047631884,1.6312555220589229e-10
Wilks' lambda,0.8404816418324679,18,1166.0,5.880318049160168,9.501748944150816e-14
Pillai's trace,0.16407978606006168,18.0,1168.0,5.799247116363149,1.6755356087996535e-13
Hotelling-Lawley trace,0.18436682321478945,18,967.8958810068611,5.963273487693745,7.297986108041543e-14
Roy's greatest root,0.14759660423015053,9,584,9.577379652267545,1.0830056949247878e-13
Wilks' lambda,0.8631873557266931,18,1166.0,4.944812020037512,6.46832348215499e-11
Pillai's trace,0.140177929027688,18.0,1168.0,4.890785093542217,9.371835983878936e-11
Hotelling-Lawley trace,0.15459837152802153,18,967.8958810068611,5.000424447839186,5.4606312036081906e-11
Roy's greatest root,0.12286772403020596,9,584,7.972750092626698,3.621154736494521e-11
Wilks' lambda,0.8380161893251923,18,1166.0,5.984180147666383,4.5746254494117044e-14
Pillai's trace,0.16622462851997644,18.0,1168.0,5.8819262262881145,9.370238788028698e-14
Hotelling-Lawley trace,0.18823382512056352,18,967.8958810068611,6.088350166563991,3.068709482838324e-14
Roy's greatest root,0.15574035919011064,9,584,10.105818863002735,1.6102123196794156e-14
Wilks' lambda,0.8576797327122981,18,1166.0,5.168316913625329,1.377440558674547e-11
Pillai's trace,0.14423648647107068,18.0,1168.0,5.043393339783501,3.267246593752976e-11
Hotelling-Lawley trace,0.1637021871326303,18,967.8958810068611,5.294883837469007,7.301488800201047e-12
Roy's greatest root,0.14867483086242728,9,584,9.647344580406392,8.412236250733637e-14
Wilks' lambda,0.8799055663710299,18,1166.0,4.279270740830414,6.086697986586151e-09
Pillai's trace,0.12239090225347984,18.0,1168.0,4.229746046111814,8.487485039752574e-09
Hotelling-Lawley trace,0.13387569019513237,18,967.8958810068611,4.330157346461745,5.029799670948533e-09
Roy's greatest root,0.11019026234977224,9,584,7.1501236902518865,7.170308494159514e-10
Wilks' lambda,0.8569213565324133,18,1166.0,5.199261247406816,1.1111752899693284e-11
Pillai's trace,0.1448032786226895,18.0,1168.0,5.064758766023892,2.8181529035270723e-11
Hotelling-Lawley trace,0.1649556371012643,18,967.8958810068611,5.335426191216664,5.52956517888124e-12
Roy's greatest root,0.15168761638209516,9,584,9.842840885238175,4.15462715018625e-14
Wilks' lambda,0.8460380023218805,18,1166.0,5.647912069682532,4.856719841757174e-13
Pillai's trace,0.15773182651169815,18.0,1168.0,5.555674853449381,9.242464638130808e-13
Hotelling-Lawley trace,0.17752414008868542,18,967.8958810068611,5.741949552296499,3.3701747906200395e-13
Roy's greatest root,0.14726713636224778,9,584,9.556000848394744,1.1699419338498163e-13
Wilks' lambda,0.8592917345274064,18,1166.0,5.102677877994452,2.1713696165875316e-11
Pillai's trace,0.14342053664023266,18.0,1168.0,5.012658736185473,4.041088556372633e-11
Hotelling-Lawley trace,0.16059271695526067,18,967.8958810068611,5.194309228945865,1.4537167586217055e-11
Roy's greatest root,0.1376644855156181,9,584,8.932895504568997,1.1140126991929397e-12
Wilks' lambda,0.8609714245463163,18,1166.0,5.034478861685571,3.4815001602736235e-11
Pillai's trace,0.1418409739568298,18.0,1168.0,4.9532376238946725,6.092124313947907e-11
Hotelling-Lawley trace,0.1582121927244169,18,967.8958810068611,5.117312094726847,2.4605132322243508e-11
Roy's greatest root,0.13379826608838852,9,584,8.682020821735433,2.7643211413256323e-12
Wilks' lambda,0.8520580242248768,18,1166.0,5.398682735453374,2.7735134006972716e-12
Pillai's trace,0.15033867943776671,18.0,1168.0,5.274105998375017,6.5914085927455716e-12
Hotelling-Lawley trace,0.17081615098324227,18,967.8958810068611,5.524982242827673,1.5035195231991498e-12
Roy's greatest root,0.15235356418012813,9,584,9.886053497910536,3.5550896960265663e-14
Wilks' lambda,0.8660916225736464,18,1166.0,4.8278134017480205,1.448200180626865e-10
Pillai's trace,0.13642404099729588,18.0,1168.0,4.750224639506583,2.4637864036607537e-10
Hotelling-Lawley trace,0.151707637426361,18,967.8958810068611,4.906924772963725,1.0315841642019674e-10
Roy's greatest root,0.12923158401768647,9,584,8.385693896258767,8.094058679941797e-12
Wilks' lambda,0.8464798527494473,18,1166.0,5.629529066904241,5.524246107610322e-13
Pillai's trace,0.15734817651647992,18.0,1168.0,5.541007917353007,1.024108941995072e-12
Hotelling-Lawley trace,0.1768407334190073,18,967.8958810068611,5.719845028263686,3.925645111485693e-13
Roy's greatest root,0.14583002629002956,9,584,9.462748372597472,1.6386023949626539e-13
Wilks' lambda,0.8281688813595728,18,1166.0,6.403633033209864,2.3663618403495834e-15
Pillai's trace,0.1777429914634363,18.0,1168.0,6.329263748098914,3.99246495191403e-15
Hotelling-Lawley trace,0.20034469967651386,18,967.8958810068611,6.480071713277121,2.022027869827307e-15
Roy's greatest root,0.15398696343301724,9,584,9.99204296054245,2.4261065161662063e-14
Wilks' lambda,0.8324826488136677,18,1166.0,6.218969203003063,8.732425590263576e-15
Pillai's trace,0.17139139108820808,18.0,1168.0,6.081890284577189,2.2912458669346505e-14
Hotelling-Lawley trace,0.19657263910263728,18,967.8958810068611,6.3580658750143035,4.721485376920687e-15
Roy's greatest root,0.1690436671257922,9,584,10.969055733495848,7.244461512799203e-16
Wilks' lambda,0.8364315961706213,18,1166.0,6.051176575540229,2.853287008295444e-14
Pillai's trace,0.168380048068795,18.0,1168.0,5.965208131043653,5.2143377706812205e-14
Hotelling-Lawley trace,0.18980244208466976,18,967.8958810068611,6.139086474709323,2.1587235262751268e-14
Roy's greatest root,0.15194205110405248,9,584,9.85935087164074,3.914457740405033e-14
Wilks' lambda,0.8231399759171324,18,1166.0,6.620740402384465,5.082470086102059e-16
Pillai's trace,0.18159211162588393,18.0,1168.0,6.480014978887075,1.3734237046967562e-15
Hotelling-Lawley trace,0.20911138029478973,18,967.8958810068611,6.763626602353549,2.810080167322814e-16
Roy's greatest root,0.1765492141544766,9,584,11.456082340690482,1.2688099722728642e-16
Wilks' lambda,0.8727097981564534,18,1166.0,4.563384889919195,8.858945606492312e-10
Pillai's trace,0.12955096917489503,18.0,1168.0,4.4943317383683725,1.4158790402394346e-09
Hotelling-Lawley trace,0.1432657623144773,18,967.8958810068611,4.633875592187476,6.552386902356156e-10
Roy's greatest root,0.12203878583106517,9,584,7.918961213926895,4.401804062187926e-11
Wilks' lambda,0.8341644764256171,18,1166.0,6.147361900871374,1.4477981247482522e-14
Pillai's trace,0.16856330829721342,18.0,1168.0,5.97229805015638,4.9603812150068613e-14
Hotelling-Lawley trace,0.19553426627619855,18,967.8958810068611,6.324480108127005,5.96214716430949e-15
Roy's greatest root,0.17706613779838182,9,584,11.489624941583886,1.1255908967600639e-16
Wilks' lambda,0.8465345112097298,18,1166.0,5.627256024839621,5.612902218020163e-13
Pillai's trace,0.15619505757587834,18.0,1168.0,5.496960932705534,1.3934415789915104e-12
Hotelling-Lawley trace,0.1780623447817324,18,967.8958810068611,5.759357574634989,2.9885311905908875e-13
Roy's greatest root,0.15760336954472662,9,584,10.22670753490226,1.0419557085841749e-14
Wilks' lambda,0.8551972851052347,18,1166.0,5.26976233048436,6.80755369929068e-12
Pillai's trace,0.14862111543256606,18.0,1168.0,5.2090142791596925,1.0363323350552532e-11
Hotelling-Lawley trace,0.16485589560731112,18,967.8958810068611,5.332200091226748,5.653279684553322e-12
Roy's greatest root,0.1306921300671506,9,584,8.48046710657955,5.7398974803732586e-12
Wilks' lambda,0.8780899754434921,18,1166.0,4.35062709994391,3.758694757212856e-09
Pillai's trace,0.12414037391172114,18.0,1168.0,4.294207742068918,5.496183645625733e-09
Hotelling-Lawley trace,0.13629545780983174,18,967.8958810068611,4.408423792731776,2.980877677462847e-09
Roy's greatest root,0.11401832977084199,9,584,7.398522731796858,2.9110560929923805e-10
Wilks' lambda,0.8601049795924793,18,1166.0,5.069633437578742,2.7297441812169935e-11
Pillai's trace,0.14293319200474772,18.0,1168.0,4.994314676563864,4.58735835336661e-11
Hotelling-Lawley trace,0.15911644747730294,18,967.8958810068611,5.146559864471864,2.01490685364645e-11
Roy's greatest root,0.13244663912286792,9,584,8.59431524975054,3.798798394637292e-12
Wilks' lambda,0.8483630134215856,18,1166.0,5.551342058847957,9.548915371504324e-13
Pillai's trace,0.1553112487122492,18.0,1168.0,5.463238366823907,1.763629787276346e-12
Hotelling-Lawley trace,0.17440968324140138,18,967.8958810068611,5.641213651866419,6.752196771350438e-13
Roy's greatest root,0.1444209419397521,9,584,9.371314454757247,2.280286124173789e-13
Wilks' lambda,0.8671466459806936,18,1166.0,4.785457314442481,1.9375739249067377e-10
Pillai's trace,0.13455465736375613,18.0,1168.0,4.6804385052743,3.975120370236581e-10
Hotelling-Lawley trace,0.15124552609729702,18,967.8958810068611,4.891977961010688,1.141848881787048e-10
Roy's greatest root,0.13691588293504386,9,584,8.884319514896179,1.3282776630743381e-12
Wilks' lambda,0.8489592185405626,18,1166.0,5.526642435675299,1.1349294715360558e-12
Pillai's trace,0.15525138202869626,18.0,1168.0,5.46095526521393,1.7919762645843225e-12
Hotelling-Lawley trace,0.172953161569519,18,967.8958810068611,5.594103022531181,9.341859506324444e-13
Roy's greatest root,0.13666102430864444,9,584,8.867782021805372,1.4102671429716238e-12
Wilks' lambda,0.8547468562263691,18,1166.0,5.288216495674552,5.9873718264057474e-12
Pillai's trace,0.14807115536435103,18.0,1168.0,5.1881975789286345,1.1975296610582992e-11
Hotelling-Lawley trace,0.16664013578446973,18,967.8958810068611,5.389910648682806,3.804649415221071e-12
Roy's greatest root,0.14369669911042676,9,584,9.32431914227658,2.702564487163805e-13
Wilks' lambda,0.8439455044392462,18,1166.0,5.735165555697159,2.6341436792988797e-13
Pillai's trace,0.16109513792382002,18.0,1168.0,5.6845162144369485,3.748576367524181e-13
Hotelling-Lawley trace,0.1789379200473704,18,967.8958810068611,5.787677717473143,2.4576477614130117e-13
Roy's greatest root,0.1345464941822508,9,584,8.730572511381606,2.3183457281023204e-12
Wilks' lambda,0.8427217629327838,18,1166.0,5.786343961242437,1.8391446146232825e-13
Pillai's trace,0.1618741924119187,18.0,1168.0,5.714427403191921,3.0391787407084147e-13
Hotelling-Lawley trace,0.1811775706268213,18,967.8958810068611,5.860118348001217,1.4897550433103384e-13
Roy's greatest root,0.14305423750946503,9,584,9.282630522836397,3.1422677865342384e-13
Wilks' lambda,0.8258026367856252,18,1166.0,6.5055412470900285,1.149981379586528e-15
Pillai's trace,0.17884038291292548,18.0,1168.0,6.372178268615929,2.9470379016505315e-15
Hotelling-Lawley trace,0.20532066133356258,18,967.8958810068611,6.641017265778667,6.599149990938261e-16
Roy's greatest root,0.1727795923105966,9,584,11.211475767709825,3.041491325072604e-16
Wilks' lambda,0.8459434323461836,18,1166.0,5.6518484851652335,4.724591691378129e-13
Pillai's trace,0.1575266232041263,18.0,1168.0,5.547829172929686,9.76392817085515e-13
Hotelling-Lawley trace,0.17801014387671515,18,967.8958810068611,5.757669156580725,3.023574829074459e-13
Roy's greatest root,0.15081047657978375,9,584,9.785924258065966,5.101527397657308e-14
Wilks' lambda,0.8555684973922136,18,1166.0,5.25456464103538,7.566417148558721e-12
Pillai's trace,0.14727067418810785,18.0,1168.0,5.15792041549092,1.4775896138129742e-11
Hotelling-Lawley trace,0.16549502635854488,18,967.8958810068611,5.352872527826483,4.905849719591178e-12
Roy's greatest root,0.14215028161980348,9,584,9.223973829551692,3.8848655673462633e-13
Wilks' lambda,0.8503644317717068,18,1166.0,5.4685299694877765,1.7034316677724586e-12
Pillai's trace,0.15289618596900034,18.0,1168.0,5.3712539314321655,3.3508576109159026e-12
Hotelling-Lawley trace,0.1721320236579256,18,967.8958810068611,5.567543634824855,1.1216925111800753e-12
Roy's greatest root,0.14584043348222336,9,584,9.463423683735382,1.6346087763031148e-13
Wilks' lambda,0.8270512326596965,18,1166.0,6.45171285523508,1.6836941614858499e-15
Pillai's trace,0.17714068731695862,18.0,1168.0,6.305732042531026,4.71538646951596e-15
Hotelling-Lawley trace,0.2040464250575468,18,967.8958810068611,6.599802586969726,8.791531841647759e-16
Roy's greatest root,0.17510004080909028,9,584,11.36204709250097,1.7753602140284066e-16
Wilks' lambda,0.8509896393655302,18,1166.0,5.442720845309119,2.039790636118462e-12
Pillai's trace,0.15365409207436453,18.0,1168.0,5.40009500123317,2.740385616893124e-12
Hotelling-Lawley trace,0.1696455779440629,18,967.8958810068611,5.48712051126323,1.9508439939941405e-12
Roy's greatest root,0.12651266054991772,9,584,8.209265973461328,1.535008154798426e-11
Wilks' lambda,0.8626000304063852,18,1166.0,4.968544267228292,5.4909907546053315e-11
Pillai's trace,0.14056591483411557,18.0,1168.0,4.905345181096981,8.477029623398646e-11
Hotelling-Lawley trace,0.1556156035490449,18,967.8958810068611,5.033326423563609,4.363964279838241e-11
Roy's greatest root,0.12663216590264342,9,584,8.217020543015973,1.4924238432276115e-11
Wilks' lambda,0.8566632107824134,18,1166.0,5.20980384707342,1.0327226936921733e-11
