Test,Value,Num DF,Den DF,F Value,Pr > F
Roy's greatest root,0.25889271505806416,20,573,7.4172762864135375,7.051915555079039e-19
Wilks' lambda,0.7554467836023935,40,1144.0,4.305166668071353,8.678234775048292e-17
Pillai's trace,0.25447830294693274,40.0,1146.0,4.1768620760993995,4.930800565791145e-16
Hotelling-Lawley trace,0.31058194295227787,40,1039.718978102193,4.434322535286023,2.0979676725562588e-17
Roy's greatest root,0.2600633460329057,20,573,7.450814863842748,5.5769942910088885e-19
Wilks' lambda,0.7304524776208854,40,1144.0,4.863398855943018,4.104596515177446e-20
Pillai's trace,0.28499094289367766,40.0,1146.0,4.760902270499015,1.6749356189087337e-19
Hotelling-Lawley trace,0.34787218833479666,40,1039.718978102193,4.966732674375971,1.5341618978035824e-20
Roy's greatest root,0.2693902661392567,20,573,7.718031124889705,8.624158353448147e-20
Wilks' lambda,0.736807413686831,40,1144.0,4.718776064573751,3.0128777217075903e-19
Pillai's trace,0.27790218442990466,40.0,1146.0,4.623371281195782,1.111083357427169e-18
Hotelling-Lawley trace,0.3372427904234517,40,1039.718978102193,4.8149718274743165,1.2103947247027184e-19
Roy's greatest root,0.26064970050750685,20,573,7.467613919540071,4.958713920873787e-19
Wilks' lambda,0.7276077980369932,40,1144.0,4.92874985076712,1.6645650534618393e-20
Pillai's trace,0.2866223313446528,40.0,1146.0,4.792714381219197,1.080375831491293e-19
Hotelling-Lawley trace,0.3548093812048937,40,1039.718978102193,5.065778196414654,3.975358244236989e-21
Roy's greatest root,0.2865605740275394,20,573,8.209960445889005,2.8161822030947602e-21
Wilks' lambda,0.7231967364232897,40,1144.0,5.030846927576297,4.0557269993123125e-21
Pillai's trace,0.2957002809459774,40.0,1146.0,4.970846943402984,9.229485103785283e-21
Hotelling-Lawley trace,0.3566197594902995,40,1039.718978102193,5.091625807360925,2.793843974088118e-21
Roy's greatest root,0.25357321712929787,20,573,7.264872670754383,2.0502188217104235e-18
Wilks' lambda,0.7338406046699212,40,1144.0,4.78605957045425,1.192707695734877e-19
Pillai's trace,0.2806414459528269,40.0,1146.0,4.676382019109605,5.361749459489307e-19
Hotelling-Lawley trace,0.3429591427698855,40,1039.718978102193,4.8965868427854975,3.9880445461430274e-20
Roy's greatest root,0.26981900213225407,20,573,7.730314411089079,7.916025223829116e-20
Wilks' lambda,0.7159225205284854,40,1144.0,5.201270229605596,3.8229234280045204e-22
Pillai's trace,0.30266897974982865,40.0,1146.0,5.108883397744356,1.364892471879491e-21
Hotelling-Lawley trace,0.37083060188862615,40,1039.718978102193,5.294520599290219,1.7474289471968017e-22
Roy's greatest root,0.2771226682107339,20,573,7.939564444237526,1.842560253723363e-20
Wilks' lambda,0.7273399292563922,40,1144.0,4.934923359334008,1.528443851509316e-20
Pillai's trace,0.2870144487210462,40.0,1146.0,4.800369711068795,9.721489910416924e-20
Hotelling-Lawley trace,0.35513751187873377,40,1039.718978102193,5.07046307032489,3.7292109001483295e-21
Roy's greatest root,0.2861745429671603,20,573,8.198900656009142,3.040701173628778e-21
Wilks' lambda,0.7366396456348491,40,1144.0,4.722569987393743,2.859590171001073e-19
Pillai's trace,0.27880841963934294,40.0,1146.0,4.640890249412797,8.733994558879133e-19
Hotelling-Lawley trace,0.33654486363858893,40,1039.718978102193,4.805007202870973,1.385964702869827e-19
Roy's greatest root,0.25397317707523914,20,573,7.276331523205601,1.8920311313716677e-18
Wilks' lambda,0.770031006180503,40,1144.0,3.9920686691505294,6.007125921775733e-15
Pillai's trace,0.23978409808095502,40.0,1146.0,3.9028248764993347,1.9812462527331495e-14
Hotelling-Lawley trace,0.28590262962272517,40,1039.718978102193,4.081964525633686,2.3681528019122323e-15
Roy's greatest root,0.23063656455797363,20,573,6.607737574585944,2.0749210548815202e-16
Wilks' lambda,0.7339947328476163,40,1144.0,4.782554093880464,1.2517434531652012e-19
Pillai's trace,0.2805428425210995,40.0,1146.0,4.674470895229694,5.504544944168432e-19
