accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time,Dataset,model,sampling
0.541871921182266,0.541871921182266,0.5244118579566269,0.5271756579016965,0.7331706120812062,0.3167761377492637,0.0769953727722168,0.014315128326416016,Validation,LogisticRegression,Over
0.740983606557377,0.740983606557377,0.7382481060606061,0.7335579822816227,0.8975911493326167,0.6167702157273804,0.07773780822753906,0.014328718185424805,Train,LogisticRegression,Over
0.7469945355191256,0.7469945355191256,0.7442821053631553,0.7401532213005363,0.9021934067902894,0.6252862327135645,0.07477903366088867,0.0150604248046875,Train,LogisticRegression,Over
0.7415300546448087,0.7415300546448087,0.7375011979376305,0.7348680367337749,0.9002880050165727,0.6163050278828555,0.07500505447387695,0.014296770095825195,Train,LogisticRegression,Over
0.7486338797814208,0.7486338797814208,0.7455517057792352,0.7416894101093188,0.8990293827824062,0.6276460681278159,0.07081937789916992,0.014498233795166016,Train,LogisticRegression,Over
0.744401966138722,0.744401966138722,0.7413642403844898,0.736926361798519,0.8984632826279145,0.6217992006985539,0.0841376781463623,0.014440059661865234,Train,LogisticRegression,Over
0.7438558164937192,0.7438558164937192,0.7416895366798725,0.7369543694687581,0.8993289744336134,0.6208893756686169,0.06954288482666016,0.014539241790771484,Train,LogisticRegression,Over
0.7493173129437466,0.7493173129437466,0.7478136965001547,0.7421305567612791,0.9014610612622471,0.6296790690938788,0.07627081871032715,0.014493465423583984,Train,LogisticRegression,Over
0.7378481703986892,0.7378481703986892,0.7342211857825621,0.7307311049546196,0.8964707785513507,0.6113651735536103,0.07877206802368164,0.01448369026184082,Train,LogisticRegression,Over
0.744401966138722,0.744401966138722,0.7413338470560736,0.7374837733751913,0.900328928851775,0.6212677304304576,0.08835840225219727,0.017168045043945312,Train,LogisticRegression,Over
0.7460404150737302,0.7460404150737302,0.7438229701586366,0.7382226552994139,0.900548894915829,0.6248899215999344,0.0769953727722168,0.014315128326416016,Train,LogisticRegression,Over
