Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Validation,KNN,Under,pc_JOND750101_KNN_42_metrics,0.3553672316384181,0.3553672316384181,0.37554170863613645,0.34756697169869055,0.5743592273954116,0.03559141200901537,0.0015543937683105001,0.011866974830627399
Validation,KNN,Under,pc_KLEP840101_KNN_42_metrics,0.4376271186440678,0.4376271186440678,0.43519715506924317,0.4272768161360845,0.6209354194781826,0.15997227624949847,0.00165266990661617,0.01197812557220454
Validation,KNN,Under,pc_ROBB760113_KNN_42_metrics,0.40559322033898304,0.40559322033898304,0.4309200864979189,0.4044490537269261,0.6171622525865947,0.11146281427840883,0.00155208110809321,0.01178097724914547
Validation,LGBM,Original,embedding_protT5_LGBM_42_metrics,0.38315405968077726,0.38315405968077726,0.3613804914809418,0.37005258630844573,0.49038821315479425,-0.057682690622779274,2.8318879127502443,0.00824110507965083
Validation,LGBM,Original,fft_FASG760101_LGBM_42_metrics,0.37242077261161227,0.37242077261161227,0.35329959778923303,0.35972234866596386,0.48913444262237427,-0.07763252062941559,0.37941493988037106,0.014531326293945278
Validation,LGBM,Original,fft_FAUJ880111_LGBM_42_metrics,0.5118725422160536,0.5118725422160536,0.41526351740292816,0.44404351363178113,0.6097180796949045,0.08833468086372769,0.6138275623321533,0.02907192707061762
Validation,LGBM,Original,fft_FAUJ880112_LGBM_42_metrics,0.5110397871848253,0.5110397871848253,0.3119908950235909,0.3529507760328165,0.5549636878496809,-0.02366183718475351,0.5554408550262451,0.01802418231964108
Validation,LGBM,Original,fft_GEIM800101_LGBM_42_metrics,0.38232708767059914,0.38232708767059914,0.3656713617442901,0.37137514517724296,0.501488400626822,-0.057958220308649555,0.375704026222229,0.01426620483398432
Validation,LGBM,Original,fft_GEIM800105_LGBM_42_metrics,0.38086398334489935,0.38086398334489935,0.3560835801883263,0.3643798780509661,0.5016961679186211,-0.06514266047049673,1.3555096626281737,0.021507358551025348
Validation,LGBM,Original,fft_JOND750101_LGBM_42_metrics,0.3625665047420773,0.3625665047420773,0.34200292126554127,0.34929533814865266,0.47231505671892265,-0.09176078753792138,1.7561613082885743,0.01879999637603755
Validation,LGBM,Original,fft_KLEP840101_LGBM_42_metrics,0.45093106638908165,0.45093106638908165,0.3957498236674716,0.41704329233724124,0.5608179912523846,0.015528787918733938,0.3158528327941894,0.0133445024490356
Validation,LGBM,Original,fft_ROBB760113_LGBM_42_metrics,0.3511508211889891,0.3511508211889891,0.31852473677632015,0.3312857696231234,0.4616929292775337,-0.13151311348359068,1.9932652711868286,0.01926558017730708
Validation,LGBM,Original,fft_ZIMJ680104_LGBM_42_metrics,0.39455817719176495,0.39455817719176495,0.37471910397506997,0.3818555811512284,0.5078228829980793,-0.03539267763031488,1.6355991125106812,0.01639821529388422
Validation,LGBM,Original,pc_FASG760101_LGBM_42_metrics,0.48135554013416604,0.48135554013416604,0.47726731271729783,0.4744026527853218,0.6749826133764751,0.1327628060533684,0.3372728586196899,0.014182162284851049
Validation,LGBM,Original,pc_FAUJ880111_LGBM_42_metrics,0.5133934767522554,0.5133934767522554,0.41670312882831784,0.44505529451437076,0.6084775463249266,0.09161467352583941,1.147307324409485,0.0252738237380981
Validation,LGBM,Original,pc_GEIM800101_LGBM_42_metrics,0.4729643765903308,0.4729643765903308,0.47691787051722373,0.4724440580227739,0.6821966943059191,0.13002058151987694,0.3466095924377441,0.01488382816314692
Validation,LGBM,Original,pc_GEIM800105_LGBM_42_metrics,0.4752486699051584,0.4752486699051584,0.46864387839258015,0.46827116733041346,0.6851134954529498,0.12366787109259765,2.26974937915802,0.02047805786132807
Validation,LGBM,Original,pc_JOND750101_LGBM_42_metrics,0.4676439972241499,0.4676439972241499,0.46552072908929965,0.46302703716989546,0.6581593722598984,0.11083679604399806,2.1556777477264406,0.01783370971679683
Validation,LGBM,Original,pc_KLEP840101_LGBM_42_metrics,0.4760756419153365,0.4760756419153365,0.4539350536190101,0.45267568064172287,0.6062709902089731,0.07647520310436151,0.3206047534942627,0.015113878250122021
